polygon_id,contained_road__km,pass_count,target_passes
1352Oakland,13.106,0.213,8.760
1353Oakland,28.177,0.291,8.760
1354Oakland,13.626,0.504,8.760
1355Oakland,10.322,0.888,8.760
1356Oakland,6.298,0.917,8.760
1357Oakland,27.559,0.000,8.760
1358Oakland,15.447,0.000,8.760
1359Oakland,30.448,0.165,8.760
1360Oakland,13.591,5.301,8.760
1361Oakland,118.689,2.942,8.760
1362Oakland,6.743,5.911,8.760
1363Oakland,19.464,5.527,8.760
1364Oakland,8.913,5.467,8.760
1365Oakland,9.190,4.441,8.760
1366Oakland,13.015,3.154,8.760
1367Oakland,14.515,4.680,8.760
1368Oakland,11.741,0.929,8.760
1369Oakland,11.747,0.000,8.760
1370Oakland,11.245,0.132,8.760
1371Oakland,9.011,0.867,8.760
1372Oakland,24.868,0.037,8.760
1373Oakland,12.071,0.000,8.760
1374Oakland,20.349,0.000,8.760
1375Oakland,3.962,0.000,8.760
1376Oakland,8.976,0.000,8.760
1377Oakland,4.465,0.000,8.760
1378Oakland,5.050,0.000,8.760
1379Oakland,12.695,0.000,8.760
1380Oakland,9.283,0.000,8.760
1381Oakland,9.235,0.000,8.760
1382Oakland,13.763,0.000,8.760
1383Oakland,5.242,0.000,8.760
1384Oakland,46.510,0.032,8.760
1385Oakland,31.882,0.064,8.760
1386Oakland,54.535,0.107,8.760
1387Oakland,15.313,0.000,8.760
1388Oakland,46.070,0.000,8.760
1389Oakland,56.672,0.000,8.760
1390Oakland,16.274,0.000,8.760
1391Oakland,8.864,0.000,8.760
1392Oakland,21.756,0.000,8.760
1393Oakland,16.888,0.000,8.760
1394Oakland,18.884,0.000,8.760
1395Oakland,17.257,0.000,8.760
1396Oakland,4.728,0.000,8.760
1397Oakland,5.523,0.000,8.760
1398Oakland,7.640,0.000,8.760
1399Oakland,6.362,0.000,8.760
1400Oakland,8.327,0.000,8.760
1401Oakland,7.853,0.000,8.760
1402Oakland,13.579,0.000,8.760
1403Oakland,10.060,0.000,8.760
1404Oakland,10.526,0.000,8.760
1405Oakland,12.400,0.000,8.760
1406Oakland,52.779,0.000,8.760
1407Oakland,53.927,0.000,8.760
1408Oakland,8.397,0.000,8.760
1409Oakland,7.533,0.000,8.760
1410Oakland,9.047,0.000,8.760
1411Oakland,8.179,0.000,8.760
1412Oakland,13.007,0.000,8.760
1413Oakland,16.643,0.000,8.760
1414Oakland,10.055,0.000,8.760
1415Oakland,25.574,0.000,8.760
1416Oakland,16.862,0.000,8.760
1417Oakland,14.783,0.000,8.760
1418Oakland,18.183,0.000,8.760
1419Oakland,5.072,0.000,8.760
1420Oakland,10.644,0.000,8.760
1421Oakland,15.625,0.000,8.760
1422Oakland,54.445,0.000,8.760
1423Oakland,10.895,0.000,8.760
1424Oakland,11.514,0.000,8.760
1425Oakland,17.290,0.000,8.760
1426Oakland,17.176,0.000,8.760
1427Oakland,27.382,0.000,8.760
1428Oakland,21.455,0.000,8.760
1429Oakland,31.772,0.000,8.760
1430Oakland,68.406,0.000,8.760
1431Oakland,13.572,0.000,8.760
1432Oakland,24.101,0.000,8.760
1433Oakland,10.266,0.000,8.760
1434Oakland,15.676,0.000,8.760
1435Oakland,21.542,0.000,8.760
1436Oakland,21.037,0.000,8.760
1437Oakland,28.661,0.000,8.760
1438Oakland,16.640,0.000,8.760
1439Oakland,222.446,0.000,8.760
1440Oakland,11.074,0.000,8.760
1441Oakland,10.521,0.000,8.760
1442Oakland,20.057,0.000,8.760
1443Oakland,18.843,0.000,8.760
1444Oakland,16.027,0.000,8.760
1445Oakland,13.754,0.000,8.760
1446Oakland,12.638,0.000,8.760
1447Oakland,23.817,0.000,8.760
1448Oakland,51.073,0.000,8.760
1449Oakland,40.544,0.000,8.760
1450Oakland,16.255,0.000,8.760
1451Oakland,11.475,0.000,8.760
